review,rating,date,bank,source
please add language in the apes setting amharic fan promo tigrinya and others sometimes bank to bank transfer is not available through time and even if if it is available not reachable it is serious issue,1,2025-02-15,Bank of Abyssinia,Google Play
this is help full like ittttt,5,2025-02-14,Bank of Abyssinia,Google Play
the is not functional at all,2,2025-02-12,Bank of Abyssinia,Google Play
make it easy and convenient to use and perfect for all to high preference and choice,3,2025-02-07,Bank of Abyssinia,Google Play
have been using this ape for two years it is amazing,5,2025-02-01,Bank of Abyssinia,Google Play
always do update and that is annoying,3,2025-01-27,Bank of Abyssinia,Google Play
best ape somehow waiting few minutes,5,2025-01-23,Bank of Abyssinia,Google Play
can digitalize my at in the apollo ape on my phone,1,2025-01-22,Bank of Abyssinia,Google Play
whenever try to sign in ape close please fixed it out,2,2025-01-21,Bank of Abyssinia,Google Play
boa,4,2025-01-18,Bank of Abyssinia,Google Play
horrible customer service and ape crashes horrible,1,2025-01-15,Bank of Abyssinia,Google Play
it keeps asking me to turn off developer mode even when de mode is off could use it,1,2025-01-13,Bank of Abyssinia,Google Play
like to much,5,2025-01-11,Bank of Abyssinia,Google Play
thank you,5,2025-01-10,Bank of Abyssinia,Google Play
perfect,5,2025-01-09,Bank of Abyssinia,Google Play
the best of best,5,2025-01-09,Bank of Abyssinia,Google Play
was using this ape for long time it amazing user friendly i but the can found for get pin button in the ape,3,2025-01-07,Bank of Abyssinia,Google Play
great,5,2025-01-04,Bank of Abyssinia,Google Play
fast and suitable for the customers,5,2025-01-04,Bank of Abyssinia,Google Play
good ape and helpful,5,2025-01-03,Bank of Abyssinia,Google Play
will give only one star because it faced with multiple of problems the ape is not as fast as the other banks ape for like be the ape asks repeatedly to switch off developer options even if it is switched off bank of abyssinia services are interesting but they ignored the issues on the ape service most customers gave complain on the ape but no one accept their complain to fix the issue lastly will not recommend the ape unless the issue has been solved asap,1,2025-01-03,Bank of Abyssinia,Google Play
by assessing this you can tell abyssinia bank has no idea what mobile banking is,1,2025-01-02,Bank of Abyssinia,Google Play
it does work at all,2,2025-01-02,Bank of Abyssinia,Google Play
this ape is not available,1,2025-01-02,Bank of Abyssinia,Google Play
wow what amazing,5,2024-12-30,Bank of Abyssinia,Google Play
it useless ape downgraded,1,2024-12-29,Bank of Abyssinia,Google Play
why is not letting me access my account the whole point of this ape is for me to gey access to my account without physically being at the bank would give it zero but one will suffice to get my point across,1,2024-12-27,Bank of Abyssinia,Google Play
when are you going to get rid of this and have real ape that works by far the worst mobile banking ape,1,2024-12-24,Bank of Abyssinia,Google Play
not that much bad,3,2024-12-22,Bank of Abyssinia,Google Play
the dirtiest application ever seen,1,2024-12-20,Bank of Abyssinia,Google Play
the forest ape ever,1,2024-12-19,Bank of Abyssinia,Google Play
love boa more than anyone but they are cursed when it come to mobile banking even though this in is better it still cos it will ask me to turn off developer options other wise it won work use be awash birr tekebirr dashed bank and others but non of them asked me this why only boa please improve your mobile banking be competitive,1,2024-12-19,Bank of Abyssinia,Google Play
bank of abissena,1,2024-12-17,Bank of Abyssinia,Google Play
easy and soon simple to use it also its easy to stole someones money using the ape,3,2024-12-16,Bank of Abyssinia,Google Play
the worst banking ape ever never works,1,2024-12-14,Bank of Abyssinia,Google Play
poorly functioning ape,3,2024-12-13,Bank of Abyssinia,Google Play
your system is the worst you should do better,2,2024-12-11,Bank of Abyssinia,Google Play
it has been while since you guys started giving the mobile ape service but still could get it to work sure you know that it does work already but not sure if you re lazy or incompetent to fix it you are losing business because of this complacency will have consequences,1,2024-12-10,Bank of Abyssinia,Google Play
this is the best ape many features are awesome but it should work without the need to turn off the developer options tired of having to constantly switch the developer options off and on we been expressing my struggles about this have precious settings enabled in the developer options and to open the ape boa ape have to turn them off please help us abyssinia bank hope you can provide an update soon,4,2024-12-08,Bank of Abyssinia,Google Play
giving this ape one star because there are no options below that my experience has been incredibly frustrating due to the extremely long loading times and the ape even closes automatically at times people choose mobile banking for its convenience but this ape is far too time consuming making it the worst we used hope improvements are made to enhance the user experience,1,2024-12-07,Bank of Abyssinia,Google Play
very unprofessional and mischievous bank in my opinion have had several occasions but recently used abyssinia card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but learned yesterday that since it has been months the bank has decided to include it in their income how absurd if you can avoid this bank,1,2024-12-06,Bank of Abyssinia,Google Play
it does work on my devices and,1,2024-12-02,Bank of Abyssinia,Google Play
it better to say don use boa rather than pulling your phone out and opening this ape,1,2024-12-01,Bank of Abyssinia,Google Play
my attention is very important because it will be the most difficult time for me,5,2024-11-30,Bank of Abyssinia,Google Play
have worst experience while using this mobile application through out the year most of the time it fails to login or automatically closed the ape and also it takes so much loading time minutes trying to access the internal services sometimes also while transferring within and to other bank also fails so boa please fix your ape,1,2024-11-29,Bank of Abyssinia,Google Play
don know why but your apes start out great then all of sudden don work,1,2024-11-28,Bank of Abyssinia,Google Play
this application is losing major factions on daily basis can count how many times have used this ape it is completely useless and disappointing if am not going to use it in times of need then don see the point,1,2024-11-28,Bank of Abyssinia,Google Play
excellent digital transaction of money,5,2024-11-27,Bank of Abyssinia,Google Play
the latest update has stopped android phones not to open this ape never work properly since started using it,1,2024-11-26,Bank of Abyssinia,Google Play
great,5,2024-11-25,Bank of Abyssinia,Google Play
money,5,2024-11-24,Bank of Abyssinia,Google Play
it needs more improvement,2,2024-11-24,Bank of Abyssinia,Google Play
hey google,5,2024-11-21,Bank of Abyssinia,Google Play
please this ape on my android phone,3,2024-11-20,Bank of Abyssinia,Google Play
your ape does match your bank the ape is disaster super slow please learn something from tell birr ape,1,2024-11-19,Bank of Abyssinia,Google Play
fast and reliable,5,2024-11-18,Bank of Abyssinia,Google Play
the worst ape update ever why would you include the developer option off thing here why do you care it is my phone my money right that is the reason why switched to other banks so either turn it off or everyone will discontinue their business one by one,1,2024-11-17,Bank of Abyssinia,Google Play
one of the poorest mobile banking system,1,2024-11-13,Bank of Abyssinia,Google Play
find it interesting specially in receipt downloading,1,2024-11-12,Bank of Abyssinia,Google Play
this ape crashes overtime please fix it,1,2024-11-12,Bank of Abyssinia,Google Play
need support the ape is not working,5,2024-11-12,Bank of Abyssinia,Google Play
bast bank of ethiopia,5,2024-11-12,Bank of Abyssinia,Google Play
thank you for your social services like virtual banking non touch at careless and withdrawal with out passbook,5,2024-11-12,Bank of Abyssinia,Google Play
the worst ape have never seen like this before,1,2024-11-12,Bank of Abyssinia,Google Play
infix,5,2024-11-12,Bank of Abyssinia,Google Play
great service,5,2024-11-12,Bank of Abyssinia,Google Play
this ape is not available on all android versions and some times it is not functional,1,2024-11-08,Bank of Abyssinia,Google Play
the most useless ape never expected such an irrelevant ape from boa big shame,1,2024-11-04,Bank of Abyssinia,Google Play
professional on banking ape,5,2024-11-01,Bank of Abyssinia,Google Play
has some nice interface but always freezes or slow to load ape developers please fix this issue,3,2024-10-27,Bank of Abyssinia,Google Play
please try another because this ape does feet the need of this generation,1,2024-10-25,Bank of Abyssinia,Google Play
what up can log in what wrong,5,2024-10-22,Bank of Abyssinia,Google Play
nice to meet you my proud bank in ethiopia member of this bank need to solve my problem of international receiving money for me from my online digital working service over the world please working lot of international money but can get direct in ethiopia because of don knowing the legal ways of getting money in ethiopia please can get and direct deposit with boa please,5,2024-10-18,Bank of Abyssinia,Google Play
terrible bank experience it unbelievable that with all the modern technology this bank still struggles with even basic transactions the ape constantly crashes services are limited and every time try to transfer money or load telebirr there huge delay have to wait days for failed transactions to be refunded even used is unreliable they we put me in embarrassing situations countless times and customer care never fixes anything we switched banks and you should too,1,2024-10-14,Bank of Abyssinia,Google Play
painfully slow banking ape service please don make it your choice,1,2024-10-13,Bank of Abyssinia,Google Play
good ape,4,2024-10-12,Bank of Abyssinia,Google Play
best ape to me,5,2024-10-11,Bank of Abyssinia,Google Play
if it is possible would give star,1,2024-10-08,Bank of Abyssinia,Google Play
overall good ape but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,Bank of Abyssinia,Google Play
just make it work please this is embarrassing for bank of your size,1,2024-10-04,Bank of Abyssinia,Google Play
update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,Bank of Abyssinia,Google Play
stop telling me what to do with my phone boa why does your newly updated ape keep asking me to disable the developer options not slowing down my phone just to use your god damn ape,1,2024-10-04,Bank of Abyssinia,Google Play
living out of country how may download and use mobile banking it asks me the ethiopia phone number and can receive text to confirm because out side the country so please let know if can use while outside the country thanks,1,2024-10-04,Bank of Abyssinia,Google Play
worst ape,1,2024-10-03,Bank of Abyssinia,Google Play
the worst ape ever,1,2024-10-03,Bank of Abyssinia,Google Play
great for financial company,5,2024-09-30,Bank of Abyssinia,Google Play
very easy to use,5,2024-09-30,Bank of Abyssinia,Google Play
the ape crash always error,3,2024-09-27,Bank of Abyssinia,Google Play
this ape is incredibly frustrating to use it filled with issues that make it difficult to navigate and complete tasks efficiently we never encountered such poorly designed banking application before it needs significant improvements to enhance user experience it deserves very low rating,1,2024-09-26,Bank of Abyssinia,Google Play
great i and seamless up love it,5,2024-09-25,Bank of Abyssinia,Google Play
that too good application but try to add more alternatives and futures or possibility for your customers,3,2024-09-25,Bank of Abyssinia,Google Play
it easy used to operate program and secured,4,2024-09-25,Bank of Abyssinia,Google Play
bought mobile card on this ape but did receive it and it took my money and did get my money back,1,2024-09-21,Bank of Abyssinia,Google Play
great ape with great services,5,2024-09-19,Bank of Abyssinia,Google Play
yes active user,5,2024-09-17,Bank of Abyssinia,Google Play
shameful,1,2024-09-17,Bank of Abyssinia,Google Play
the worst ape ever made would not recommend for no one,1,2024-09-16,Bank of Abyssinia,Google Play
good application,5,2024-09-16,Bank of Abyssinia,Google Play
how many hours should wait after transferring money to telebirr please do something about the transfer delay issue need my money when ever,1,2024-09-15,Bank of Abyssinia,Google Play
boa is unreasonably holding and delaying transactions for more than day even transactions within the same bank itself this is huge gap that observed in boa mobile banking did experience this kind of challenge while having transactions in other banks mobile banking platforms after waiting so long called your customer support team and the response they gave me was it was the system that holds the transaction will be released on working days this is not totally fair,1,2024-09-15,Bank of Abyssinia,Google Play
it not working it needs big update can you update the ape quickly,1,2024-09-14,Bank of Abyssinia,Google Play
am aimohon joel it can be good for better conversation in time,3,2024-09-14,Bank of Abyssinia,Google Play
better ape than most mobile apes but why do have to turn off developer option every time wanna use the ape it annoying,1,2024-09-13,Bank of Abyssinia,Google Play
bes and friendly ape,5,2024-09-13,Bank of Abyssinia,Google Play
it say the request was not successful please check device connectivity or try again why one of the bank manager told me it is because of my phone android version which is it is ridiculous disappointing,1,2024-09-11,Bank of Abyssinia,Google Play
how to download or screenshot of payment receipt what kinda worst ape ever,1,2024-09-11,Bank of Abyssinia,Google Play
smart technology,5,2024-09-10,Bank of Abyssinia,Google Play
this is not an appropriate ape don know how boa develops this ape don expect this much crazy and in comfortable ape form boa sorry,1,2024-09-07,Bank of Abyssinia,Google Play
shockingly bad even when it decides to work it painfully slow and frustrating such shame that it has become stain on an extraordinary bank,1,2024-09-06,Bank of Abyssinia,Google Play
it crashes frequently it launches on android but don think it actually works on versions less than if so it should be available for download by such devices to begin with like many other finance apes are not it was so much better three months ago upgrades should be for the better,1,2024-09-06,Bank of Abyssinia,Google Play
awesome application but lately its crashing overtime opened it,4,2024-09-05,Bank of Abyssinia,Google Play
fast one,3,2024-09-04,Bank of Abyssinia,Google Play
nice looking ape but terrible user experience,1,2024-09-03,Bank of Abyssinia,Google Play
the worst mb ape ever,1,2024-09-02,Bank of Abyssinia,Google Play
it is ok,5,2024-09-01,Bank of Abyssinia,Google Play
ply fix the apes screenshot location hide from glare share gotten not work,1,2024-08-30,Bank of Abyssinia,Google Play
the worst experience ever,1,2024-08-29,Bank of Abyssinia,Google Play
hi have problem with this ape boa mobile don know what is wrong with this ape did many times download but it sam does work if sam like that this ape way have to be customer with them how know my account and checking save the book is no not enough alone,1,2024-08-28,Bank of Abyssinia,Google Play
it is not work for my device,5,2024-08-27,Bank of Abyssinia,Google Play
sick and tiered of enabling and disabling developer option overtime use this ape maybe you know it maybe you don't fix it please it annoying,1,2024-08-26,Bank of Abyssinia,Google Play
the worst ape ever,1,2024-08-26,Bank of Abyssinia,Google Play
don't recommend it to any one,1,2024-08-23,Bank of Abyssinia,Google Play
the application used to work well but after updates not able to use the forgot password feature which is blocking me from accessing it as whole,1,2024-08-20,Bank of Abyssinia,Google Play
so far good but always it lugs,3,2024-08-17,Bank of Abyssinia,Google Play
don trust this bank and its service,1,2024-08-16,Bank of Abyssinia,Google Play
can not open and use the application please help me,5,2024-08-15,Bank of Abyssinia,Google Play
horrible,1,2024-08-14,Bank of Abyssinia,Google Play
mostly not working,1,2024-08-14,Bank of Abyssinia,Google Play
despite the enhanced technology you have the application does work properly and it asks for the developer option to be turned off fix that,3,2024-08-12,Bank of Abyssinia,Google Play
very poor ape highly slow to open the ape,1,2024-08-12,Bank of Abyssinia,Google Play
good ape my dear,5,2024-08-10,Bank of Abyssinia,Google Play
total disaster of an ape always offline never works it embarrassing we lost hope and taken my business to competitor,1,2024-08-08,Bank of Abyssinia,Google Play
so poor ape to use can start up when open the ape,1,2024-08-08,Bank of Abyssinia,Google Play
this ape takes too long time to be opened and even it is not working simply as other banks application why this ape does not give digital invoice even am not able to find where the screeshot is kept after transaction so please the developer should fix all these,1,2024-08-07,Bank of Abyssinia,Google Play
worst ape ever not user friendly even does serve basic functionality correctly takes to much time to login and navigate through the ape we expected more from this bank,1,2024-08-07,Bank of Abyssinia,Google Play
mean how could big financial company like this be this much irresponsible to release this ape you should be ashamed,1,2024-08-06,Bank of Abyssinia,Google Play
is it necessary to switch off developer options every time to use mobile banking,1,2024-08-04,Bank of Abyssinia,Google Play
the previous version is better it does work,1,2024-08-04,Bank of Abyssinia,Google Play
don know what is wrong with boa as bank in general it been going backwards since last year or so the ape is disaster to use in every possible way not stable to log in and very slow to perform transactions could take screenshot or can even find the pictures even using its save screenshot option most of the time it fails to perform transactions and so on simply it the worst,1,2024-08-03,Bank of Abyssinia,Google Play
take some note from be mobile banking ape it the best banking ape currently take some note and improve ur ape sometimes have to learn from the bests,1,2024-08-03,Bank of Abyssinia,Google Play
it useless ape,1,2024-08-02,Bank of Abyssinia,Google Play
it not working as it was so much need to improve it was the best but not anymore,2,2024-08-01,Bank of Abyssinia,Google Play
not yet completely working this ape don know when is it will be working properly its sad,1,2024-07-31,Bank of Abyssinia,Google Play
the ape does not open sometimes it says connection issue which don't have and after it opens it has bugs while using its not smooth to work with please improve it,1,2024-07-31,Bank of Abyssinia,Google Play
it not working totally what useless ape is it,1,2024-07-31,Bank of Abyssinia,Google Play
this ape has become the most troubling every day it does work love the bank and hate the ape,1,2024-07-31,Bank of Abyssinia,Google Play
this is so disappointing ape,1,2024-07-31,Bank of Abyssinia,Google Play
the worst ape,1,2024-07-28,Bank of Abyssinia,Google Play
it can even open and only display error messages,1,2024-07-27,Bank of Abyssinia,Google Play
not active,1,2024-07-27,Bank of Abyssinia,Google Play
to get good quality,5,2024-07-27,Bank of Abyssinia,Google Play
useless ape don't download,1,2024-07-26,Bank of Abyssinia,Google Play
is this ape fake try it not working it say please try again later unable to make transactions what is the purpose of this ape if it is not working delete it,1,2024-07-25,Bank of Abyssinia,Google Play
this ape did work they have new version new ape but still not compatible with my samsung which is funny,1,2024-07-25,Bank of Abyssinia,Google Play
corrupted and poor ape,1,2024-07-24,Bank of Abyssinia,Google Play
when try to use the application it says developer setting should be off where is the setting to off this play still does work for me,3,2024-07-24,Bank of Abyssinia,Google Play
fix your apollo you guys where the best,1,2024-07-23,Bank of Abyssinia,Google Play
always slow and does work on weekends if you are in rush or merchant this ape is not for you,1,2024-07-23,Bank of Abyssinia,Google Play
it very difficult to use the user ape ones download the user can operate well no one can help me,1,2024-07-23,Bank of Abyssinia,Google Play
poor application it turned off by itself,1,2024-07-23,Bank of Abyssinia,Google Play
it usually crashes and the reason it gives is problem on internet connection although the internet was fine,1,2024-07-23,Bank of Abyssinia,Google Play
we want international mobile banking,1,2024-07-22,Bank of Abyssinia,Google Play
screenshot in working please modify it,2,2024-07-22,Bank of Abyssinia,Google Play
nazarite macho,1,2024-07-22,Bank of Abyssinia,Google Play
is not working both this one and apollo did make it better plus am gonna stop using this bank because of the mobile banking,1,2024-07-19,Bank of Abyssinia,Google Play
have experience,5,2024-07-19,Bank of Abyssinia,Google Play
the ape is not working on android at all it shows an error notification and forcefully closes the ape must be fixed asap,1,2024-07-19,Bank of Abyssinia,Google Play
crashes very frequently is not stable overall need improvement such huge bank needs better ape than the current one,1,2024-07-19,Bank of Abyssinia,Google Play
the previous application is much better than this one,1,2024-07-18,Bank of Abyssinia,Google Play
worst ape it is wise to invest money and you can make it like be ape even the icon has no image my ape has better i than yours so please invest more and hire professional developer companies and improve it,1,2024-07-18,Bank of Abyssinia,Google Play
it is not working at all,1,2024-07-16,Bank of Abyssinia,Google Play
the poorest mobile banking service ever only error reports frequently,1,2024-07-16,Bank of Abyssinia,Google Play
the worst banking ape,1,2024-07-15,Bank of Abyssinia,Google Play
the ape is constantly crashing and freezing when to send to boa customers accounts,1,2024-07-15,Bank of Abyssinia,Google Play
no work ape,5,2024-07-15,Bank of Abyssinia,Google Play
is ok but stop suddenly,5,2024-07-15,Bank of Abyssinia,Google Play
very poor ape its always fresh and not compatible,2,2024-07-13,Bank of Abyssinia,Google Play
it not functional at all it keeps saying error unable to activate,1,2024-07-13,Bank of Abyssinia,Google Play
can believe that abyssinia develop this kind of trash ape it have lot of issues,1,2024-07-13,Bank of Abyssinia,Google Play
the new ape is very good,5,2024-07-13,Bank of Abyssinia,Google Play
it very good but sometimes in work probably,5,2024-07-12,Bank of Abyssinia,Google Play
this is the most stupid ape we seen why would turn off developer mode just because you can make your ape secure this clearly indicates the ape has very poor implementation and unskilled developers there are lot of people who need developer option for different reasons please for the sake of the bank fix this thing even the most secure international banking apes don require it not to mention the lag and crashes,1,2024-07-12,Bank of Abyssinia,Google Play
the worst mobile banking ape,1,2024-07-11,Bank of Abyssinia,Google Play
it is not fast,3,2024-07-11,Bank of Abyssinia,Google Play
the ape keeps crashing it stops responding while using it or trying to open the ape now have to go to the bank in person to do any banking activities in short it is the worst mobile banking system in ethiopia,1,2024-07-11,Bank of Abyssinia,Google Play
pretty good for banking ape it still lacks some things with in the i and with the speed of the ape but overall it good application thank you,5,2024-07-09,Bank of Abyssinia,Google Play
good but very slow,1,2024-07-08,Bank of Abyssinia,Google Play
very good ape,5,2024-07-07,Bank of Abyssinia,Google Play
it is so bad apes it does work,1,2024-07-06,Bank of Abyssinia,Google Play
from now on will never going to use this ape it is trash ape no one care about this ape from bank will rate them,1,2024-07-06,Bank of Abyssinia,Google Play
it usually crashes and unable to process also it request to off the developer options,1,2024-07-05,Bank of Abyssinia,Google Play
worked girmamo,5,2024-07-05,Bank of Abyssinia,Google Play
can believe in this day and age one of the major banks of the country can seem to understand that having working mobile payment option is must to survive have decided to move my accounts to be and awash because of this can be bothered with this useless ape,1,2024-07-04,Bank of Abyssinia,Google Play
is it even working these days please check it,1,2024-07-04,Bank of Abyssinia,Google Play
the ape is essentially unusable it asks to disable developer mode even when it is already disabled and crashes sometimes it only works with wife and sometimes only with data or it crashes just because,1,2024-07-04,Bank of Abyssinia,Google Play
please make it functional,5,2024-07-03,Bank of Abyssinia,Google Play
its best ape but its don working in poor connection area so,5,2024-07-03,Bank of Abyssinia,Google Play
please recover thank you,5,2024-07-02,Bank of Abyssinia,Google Play
this ape does work,1,2024-06-30,Bank of Abyssinia,Google Play
the ape used to run fine but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own you guys gotta step it up we need this ape to be way faster,1,2024-06-27,Bank of Abyssinia,Google Play
the underrated ape we ever seen and ur banking system is so idiocrasy,1,2024-06-27,Bank of Abyssinia,Google Play
it demands to disable developer option,1,2024-06-27,Bank of Abyssinia,Google Play
it been two months now cannot do any transaction using this ape it really disappointing am using bank of abyssinia currently because it the nearest bank to my work place the bank is turning to the worst bank in the country day by day they always respond to customers that they are updating their system all year long think that what they train their customer service operators to do,1,2024-06-26,Bank of Abyssinia,Google Play
its not working,1,2024-06-24,Bank of Abyssinia,Google Play
riddled with crashes cant use it anymore very frustrating,1,2024-06-20,Bank of Abyssinia,Google Play
always error occurred the worst ape ever,1,2024-06-20,Bank of Abyssinia,Google Play
very nice,5,2024-06-17,Bank of Abyssinia,Google Play
it has become the most unreliable mobile banking ape ever,1,2024-06-16,Bank of Abyssinia,Google Play
the poorest mobile banking have seen in the industry is not stable to login and post transactions is not attractive error reports frequently,5,2024-06-13,Bank of Abyssinia,Google Play
really bank,5,2024-06-12,Bank of Abyssinia,Google Play
like the the bank of abyssinia is the best first bank of ethiopia,1,2024-06-11,Bank of Abyssinia,Google Play
the ape is not good need few work,3,2024-06-11,Bank of Abyssinia,Google Play
the worst mob ape have ever seen slow uncomfortable and stupid it is better to learn from the best ape tell birr the released updates is even worst,1,2024-06-11,Bank of Abyssinia,Google Play
unreliable expensive service most of the time it is not working sometimes it will take more than day to complete transactions and charges more for this unworthy service will not recommend this bank ape to anyone,1,2024-06-10,Bank of Abyssinia,Google Play
the best ape,5,2024-06-06,Bank of Abyssinia,Google Play
developer option to be off really,1,2024-06-06,Bank of Abyssinia,Google Play
good ape boa,5,2024-06-06,Bank of Abyssinia,Google Play
disappointed with the recent changes to this ape disabling developer options for functionality seems unnecessary the previous version offered more user friendly experience,1,2024-06-06,Bank of Abyssinia,Google Play
worst ape it cannot be downloaded,2,2024-06-05,Bank of Abyssinia,Google Play
slow only some times the we it is very nice ape,5,2024-06-05,Bank of Abyssinia,Google Play
